"token","type","uniq","age_group","dialect","gender","operating_system","input_method","trial","session"
"x","initial","0","18-30","cantonese","female","mac","apple","2","1"
"ia","final","1","18-30","cantonese","female","mac","apple","2","1"
"1","selection","2","18-30","cantonese","female","mac","apple","2","1"
"m","initial","3","18-30","cantonese","female","mac","apple","2","1"
"a","final","4","18-30","cantonese","female","mac","apple","2","1"
"1","selection","5","18-30","cantonese","female","mac","apple","2","1"
"y","initial","6","18-30","cantonese","female","mac","apple","2","1"
"in","final","7","18-30","cantonese","female","mac","apple","2","1"
"l","initial","8","18-30","cantonese","female","mac","apple","2","1"
"iao","final","9","18-30","cantonese","female","mac","apple","2","1"
"_","selection","10","18-30","cantonese","female","mac","apple","2","1"
"*","productive-delete","11","18-30","cantonese","female","mac","apple","2","1"
"j","initial","12","18-30","cantonese","female","mac","apple","2","1"
"un","final","13","18-30","cantonese","female","mac","apple","2","1"
"z","initial","14","18-30","cantonese","female","mac","apple","2","1"
"1","selection","15","18-30","cantonese","female","mac","apple","2","1"
"*","productive-delete","16","18-30","cantonese","female","mac","apple","2","1"
"j","initial","17","18-30","cantonese","female","mac","apple","2","1"
"iu","final","18","18-30","cantonese","female","mac","apple","2","1"
"1","selection","19","18-30","cantonese","female","mac","apple","2","1"
"w","initial","20","18-30","cantonese","female","mac","apple","2","1"
"en","final","21","18-30","cantonese","female","mac","apple","2","1"
"1","selection","22","18-30","cantonese","female","mac","apple","2","1"
"j","initial","23","18-30","cantonese","female","mac","apple","2","1"
"un","final","24","18-30","cantonese","female","mac","apple","2","1"
"z","initial","25","18-30","cantonese","female","mac","apple","2","1"
"i","final","26","18-30","cantonese","female","mac","apple","2","1"
"1","selection","27","18-30","cantonese","female","mac","apple","2","1"
"*","productive-delete","28","18-30","cantonese","female","mac","apple","2","1"
"h","initial","29","18-30","cantonese","female","mac","apple","2","1"
"e","final","30","18-30","cantonese","female","mac","apple","2","1"
"s","initial","31","18-30","cantonese","female","mac","apple","2","1"
"uo","final","32","18-30","cantonese","female","mac","apple","2","1"
"1","selection","33","18-30","cantonese","female","mac","apple","2","1"
"zh","initial","34","18-30","cantonese","female","mac","apple","2","1"
"i","final","35","18-30","cantonese","female","mac","apple","2","1"
"1","selection","36","18-30","cantonese","female","mac","apple","2","1"
"j","initial","37","18-30","cantonese","female","mac","apple","2","1"
"un","final","38","18-30","cantonese","female","mac","apple","2","1"
"z","initial","39","18-30","cantonese","female","mac","apple","2","1"
"i","final","40","18-30","cantonese","female","mac","apple","2","1"
"1","selection","41","18-30","cantonese","female","mac","apple","2","1"
"*","productive-delete","42","18-30","cantonese","female","mac","apple","2","1"
"y","initial","43","18-30","cantonese","female","mac","apple","2","1"
"an","final","44","18-30","cantonese","female","mac","apple","2","1"
"4","selection","45","18-30","cantonese","female","mac","apple","2","1"
"b","initial","46","18-30","cantonese","female","mac","apple","2","1"
"u","final","47","18-30","cantonese","female","mac","apple","2","1"
"d","initial","48","18-30","cantonese","female","mac","apple","2","1"
"e","final","49","18-30","cantonese","female","mac","apple","2","1"
"y","initial","50","18-30","cantonese","female","mac","apple","2","1"
"i","final","51","18-30","cantonese","female","mac","apple","2","1"
"1","selection","52","18-30","cantonese","female","mac","apple","2","1"
"*","productive-delete","53","18-30","cantonese","female","mac","apple","2","1"
"y","initial","54","18-30","cantonese","female","mac","apple","2","1"
"i","final","55","18-30","cantonese","female","mac","apple","2","1"
"1","selection","56","18-30","cantonese","female","mac","apple","2","1"
"g","initial","57","18-30","cantonese","female","mac","apple","2","1"
"ui","final","58","18-30","cantonese","female","mac","apple","2","1"
"l","initial","59","18-30","cantonese","female","mac","apple","2","1"
"ai","final","60","18-30","cantonese","female","mac","apple","2","1"
"1","selection","61","18-30","cantonese","female","mac","apple","2","1"
"*","productive-delete","62","18-30","cantonese","female","mac","apple","2","1"
"w","initial","63","18-30","cantonese","female","mac","apple","2","1"
"o","final","64","18-30","cantonese","female","mac","apple","2","1"
"sh","initial","65","18-30","cantonese","female","mac","apple","2","1"
"i","final","66","18-30","cantonese","female","mac","apple","2","1"
"2","selection","67","18-30","cantonese","female","mac","apple","2","1"
