"trial_name","trial_id","session","trial","trial_text","keylog","editor","operating_system","age_group","dialect","gender","character_type","trial_date","uniq","token","token_type","chinese_id","segment","text_seg_id"
"tang_session1_trial2",1,1,2,"TangPoem","junzi1*yan4budeyi1*yi1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","14","i","final","14","3","TangPoem_3"
"tang_session1_trial2",1,1,2,"TangPoem","junzi1*yan4budeyi1*yi1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","15","1","selection","14","3","TangPoem_3"
"tang_session1_trial2",1,1,2,"TangPoem","junzi1*yan4budeyi1*yi1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","16","*","delete","14","3","TangPoem_3"
"tang_session1_trial2",1,1,2,"TangPoem","junzi1*yan4budeyi1*yi1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","17","y","initial","15","3","TangPoem_3"
"tang_session2_trial1",1,2,1,"TangPoem","junyanbudeyi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","17","y","initial","15","3","TangPoem_3"
"tang_session2_trial2",1,2,2,"TangPoem","junyanbudeyi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","17","y","initial","15","3","TangPoem_3"
"tang_session5_trial1",1,5,1,"TangPoem","junyanbudeyi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","17","y","initial","15","3","TangPoem_3"
"tang_session6_trial1",1,6,1,"TangPoem","junyanbudeyi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","17","y","initial","15","3","TangPoem_3"
"tang_session6_trial2",1,6,2,"TangPoem","junyanbudeyi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","17","y","initial","15","3","TangPoem_3"
"tang_session1_trial2",1,1,2,"TangPoem","junzi1*yan4budeyi1*yi1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","18","i","final","15","3","TangPoem_3"
"tang_session2_trial1",1,2,1,"TangPoem","junyanbudeyi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","18","i","final","15","3","TangPoem_3"
